id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1,1,1,1,http://10086.cn,10086.cn,0,10086.cn,117.136.190.162,1,1,80,200,OK,,"Cmcc,1.1 ID-0314217212701472 uproxy-4",117.136.190.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,CertInfo
3,1,1,1,https://10086.cn,10086.cn,0,10086.cn,117.136.190.162,1,1,443,200,OK,,"Cmcc,1.1 ID-0314217212701472 uproxy-11",117.136.190.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,CertInfo
432,0,0,1,http://139pe.mail.10086.cn,139pe.mail.10086.cn,2,139pe.mail.10086.cn,120.232.169.7,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='139pe.mail.10086.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fedebb3ea60>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,120.232.0.0/16,AS56040,China Mobile Communications Corporation,中国广东省,移动,IP138Query
434,0,0,1,https://139pe.mail.10086.cn,139pe.mail.10086.cn,2,139pe.mail.10086.cn,120.232.169.7,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='139pe.mail.10086.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fedeba8a820>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,120.232.0.0/16,AS56040,China Mobile Communications Corporation,中国广东省,移动,IP138Query
116,1,1,1,http://400.10086.cn,400.10086.cn,1,400.10086.cn,221.176.13.201,1,1,80,200,OK,移动400 - 企业营销客服综合门户,WebServer,221.176.12.0/22,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
119,1,1,1,https://400.10086.cn,400.10086.cn,1,400.10086.cn,221.176.13.201,1,1,443,200,OK,移动400 - 企业营销客服综合门户,WebServer,221.176.12.0/22,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
342,1,1,1,http://5g.mas.10086.cn,5g.mas.10086.cn,2,5g.mas.10086.cn,36.133.52.41,1,1,80,200,OK,webbas-ui,nginx,36.133.48.0/21,AS56048,China Mobile Communicaitons Corporation,中国,移动,IP138Query
345,1,1,1,https://5g.mas.10086.cn,5g.mas.10086.cn,2,5g.mas.10086.cn,36.133.52.41,1,1,443,200,OK,webbas-ui,nginx,36.133.48.0/21,AS56048,China Mobile Communicaitons Corporation,中国,移动,IP138Query
298,1,1,1,http://5gcsp.mas.10086.cn,5gcsp.mas.10086.cn,2,5gcsp.mas.10086.cn,117.161.4.187,1,1,80,200,OK,5G行业消息业务平台,unknown,117.161.4.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国内蒙古呼和浩特市,移动,IP138Query
301,1,1,1,https://5gcsp.mas.10086.cn,5gcsp.mas.10086.cn,2,5gcsp.mas.10086.cn,117.161.4.187,1,1,443,200,OK,5G行业消息业务平台,,117.161.4.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国内蒙古呼和浩特市,移动,IP138Query
599,1,1,1,https://5gmgt.mas.10086.cn,5gmgt.mas.10086.cn,2,5gmgt.mas.10086.cn,112.35.163.60,1,1,443,200,OK,5G行业消息业务管理平台,,112.35.160.0/20,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
665,0,0,1,http://5gmgt.mas.10086.cn,5gmgt.mas.10086.cn,2,5gmgt.mas.10086.cn,112.35.163.60,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='5gmgt.mas.10086.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fee282ffca0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,112.35.160.0/20,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
511,1,1,1,http://a.10086.cn,a.10086.cn,1,a.10086.mmarket.com,120.196.212.112,1,1,80,200,OK,,nginx,120.196.0.0/16,AS56040,China Mobile Communications Corporation,中国广东省广州市,移动,IP138Query
562,0,0,1,https://a.10086.cn,a.10086.cn,1,a.10086.mmarket.com,120.196.212.112,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='a.10086.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fee2805c1f0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,120.196.0.0/16,AS56040,China Mobile Communications Corporation,中国广东省广州市,移动,IP138Query
1032,1,1,1,https://a.edu.hl.10086.cn,a.edu.hl.10086.cn,3,a.edu.hl.10086.cn,111.40.221.112,1,1,443,200,OK,An Error Has Occured,nginx,111.40.208.0/20,AS132525,HeiLongJiang Mobile Communication Company Limited,中国黑龙江省哈尔滨市,移动,RapidDNSQuery
1034,1,1,1,http://a.edu.hl.10086.cn,a.edu.hl.10086.cn,3,a.edu.hl.10086.cn,111.40.221.112,1,1,80,200,OK,An Error Has Occured,nginx,111.40.208.0/20,AS132525,HeiLongJiang Mobile Communication Company Limited,中国黑龙江省哈尔滨市,移动,RapidDNSQuery
222,1,1,1,https://aaas.10086.cn,aaas.10086.cn,1,aaas.10086.cn,117.136.129.109,1,1,443,200,OK,中国移动智慧中台,"nginx,1.1 ID-0002262061160172 uproxy-3",117.136.129.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
225,1,1,1,http://aaas.10086.cn,aaas.10086.cn,1,aaas.10086.cn,117.136.129.109,1,1,80,200,OK,中国移动智慧中台,"nginx,1.1 ID-0002262061160172 uproxy-3",117.136.129.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
912,1,1,1,http://aas.caiyun.feixin.10086.cn,aas.caiyun.feixin.10086.cn,3,aas.caiyun.feixin.10086.cn,221.176.66.98,1,0,80,404,Not Found,'',APP,221.176.66.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国广东省广州市,移动,ThreatMinerQuery
913,1,1,1,https://aas.caiyun.feixin.10086.cn,aas.caiyun.feixin.10086.cn,3,aas.caiyun.feixin.10086.cn,221.176.66.98,1,0,443,404,Not Found,'',HTTPS,221.176.66.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国广东省广州市,移动,ThreatMinerQuery
429,0,0,1,https://ac.10086.cn,ac.10086.cn,1,ac.10086.cn,117.132.184.23,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ac.10086.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fedec16abb0>, 'Connection to ac.10086.cn timed out. (connect timeout=3.05)'))""),)",,,117.132.184.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国内蒙古呼和浩特市,移动,IP138Query
430,0,0,1,http://ac.10086.cn,ac.10086.cn,1,ac.10086.cn,117.132.184.23,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ac.10086.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fedec3ccd00>, 'Connection to ac.10086.cn timed out. (connect timeout=3.05)'))""),)",,,117.132.184.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国内蒙古呼和浩特市,移动,IP138Query
478,1,1,1,https://actest.10086.cn,actest.10086.cn,1,actest.10086.cn,117.128.1.73,1,1,443,200,OK,用户登录,,117.128.1.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
482,1,1,1,http://actest.10086.cn,actest.10086.cn,1,actest.10086.cn,117.128.1.73,1,1,80,200,OK,用户登录,,117.128.1.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国北京北京市,移动,IP138Query
1300,0,0,1,http://activity.caiyun.feixin.10086.cn,activity.caiyun.feixin.10086.cn,3,activity.caiyun.feixin.10086.cn,117.136.240.23,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='activity.caiyun.feixin.10086.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fedeaf3cdc0>, 'Connection to activity.caiyun.feixin.10086.cn timed out. (connect timeout=3.05)'))""),)",,,117.136.240.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国,移动,RapidDNSQuery
1301,0,0,1,https://activity.caiyun.feixin.10086.cn,activity.caiyun.feixin.10086.cn,3,activity.caiyun.feixin.10086.cn,117.136.240.23,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='activity.caiyun.feixin.10086.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fee181ff4f0>, 'Connection to activity.caiyun.feixin.10086.cn timed out. (connect timeout=3.05)'))""),)",,,117.136.240.0/24,AS9808,Guangdong Mobile Communication Co.Ltd.,中国,移动,RapidDNSQuery
