id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
7,1,1,1,https://eol.zorelworld.com,eol.zorelworld.com,1,eol.zorelworld.com,124.127.209.46,1,1,443,200,OK,睿眼·邮件在线检测,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
11,1,1,1,http://eol.zorelworld.com,eol.zorelworld.com,1,eol.zorelworld.com,124.127.209.46,1,1,80,200,OK,睿眼·邮件在线检测,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
10,1,1,1,https://ir.zorelworld.com,ir.zorelworld.com,1,ir.zorelworld.com,124.127.209.46,1,0,443,401,Unauthorized,401 Authorization Required,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
12,1,1,1,http://ir.zorelworld.com,ir.zorelworld.com,1,ir.zorelworld.com,124.127.209.46,1,0,80,401,Unauthorized,401 Authorization Required,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
5,1,1,1,https://irl.zorelworld.com,irl.zorelworld.com,1,irl.zorelworld.com,124.127.209.46,1,0,443,401,Unauthorized,401 Authorization Required,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
8,1,1,1,http://irl.zorelworld.com,irl.zorelworld.com,1,irl.zorelworld.com,124.127.209.46,1,0,80,401,Unauthorized,401 Authorization Required,nginx/1.20.1,124.127.192.0/18,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
29,0,0,1,http://jira.zorelworld.com,jira.zorelworld.com,1,jira.zorelworld.com,36.110.116.43,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='jira.zorelworld.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f1a60073460>, 'Connection to jira.zorelworld.com timed out. (connect timeout=3.05)'))""),)",,,36.110.116.0/23,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
30,0,0,1,https://jira.zorelworld.com,jira.zorelworld.com,1,jira.zorelworld.com,36.110.116.43,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='jira.zorelworld.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f1a60073730>, 'Connection to jira.zorelworld.com timed out. (connect timeout=3.05)'))""),)",,,36.110.116.0/23,AS4847,China Networks Inter-Exchange,中国北京北京市,电信,CrtshQuery
27,0,0,1,https://kb.zorelworld.com,kb.zorelworld.com,1,kb.zorelworld.com,192.168.89.200,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='kb.zorelworld.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f1a6012b760>, 'Connection to kb.zorelworld.com timed out. (connect timeout=3.05)'))""),)",,,192.168.0.0/16,AS-,-,内网IP,内网IP,QianXunQuery
28,0,0,1,http://kb.zorelworld.com,kb.zorelworld.com,1,kb.zorelworld.com,192.168.89.200,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='kb.zorelworld.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f1a60122310>, 'Connection to kb.zorelworld.com timed out. (connect timeout=3.05)'))""),)",,,192.168.0.0/16,AS-,-,内网IP,内网IP,QianXunQuery
